IniFile;Submodel;EntityType;EntityName;Units;Value;Option;Comment
Q:\OSR\INI\ModelLowN\ini\IniFiles\Hohenschulen_Architect_200_1971.ini;DevelopmentOSR1;Parameter;ScaleDevVeg;[-];1;NA;Scaling factor for vegetative development rate
Q:\OSR\INI\ModelLowN\ini\IniFiles\Hohenschulen_Architect_200_1971.ini;DevelopmentOSR1;Parameter;SOWINGDATE;[-];25805;NA;
Q:\OSR\INI\ModelLowN\ini\IniFiles\Hohenschulen_Architect_200_1971.ini;DevelopmentOSR1;Parameter;TB;[°C];3;NA;
Q:\OSR\INI\ModelLowN\ini\IniFiles\Hohenschulen_Architect_200_1971.ini;DevelopmentOSR1;Parameter;TSumCotEm;[°Cd];19.97;NA;Temperature Sum from first appearance of Cotyledons to complete unfolding (DVS=1/BBCH=9 to BBCH=10)
Q:\OSR\INI\ModelLowN\ini\IniFiles\Hohenschulen_Architect_200_1971.ini;DevelopmentOSR1;Parameter;TSumInternode;[°Cd];17.06;NA;
Q:\OSR\INI\ModelLowN\ini\IniFiles\Hohenschulen_Architect_200_1971.ini;DevelopmentOSR1;Parameter;Tvmax;[°C];17.2;NA;
Q:\OSR\INI\ModelLowN\ini\IniFiles\Hohenschulen_Architect_200_1971.ini;DevelopmentOSR1;Parameter;Tvmin;[°C];-3.72;NA;
Q:\OSR\INI\ModelLowN\ini\IniFiles\Hohenschulen_Architect_200_1971.ini;DevelopmentOSR1;Parameter;Tvopt1;[°C];0.73;NA;
Q:\OSR\INI\ModelLowN\ini\IniFiles\Hohenschulen_Architect_200_1971.ini;DevelopmentOSR1;Parameter;Tvopt2;[°C];5.38;NA;
Q:\OSR\INI\ModelLowN\ini\IniFiles\Hohenschulen_Architect_200_1971.ini;DevelopmentOSR1;ExternalValue;DayLengthP;;NA;Daylength1;
Q:\OSR\INI\ModelLowN\ini\IniFiles\Hohenschulen_Architect_200_1971.ini;DevelopmentOSR1;ExternalValue;TMPM;[Â°C];NA;q:\weather\ModelLowN\DWD_Intpol_Hohenschulen.csv;
Q:\OSR\INI\ModelLowN\ini\IniFiles\Hohenschulen_Architect_200_1971.ini;DevelopmentOSR1;Option;ContOutput; NA;NA;true;Output every time step?
Q:\OSR\INI\ModelLowN\ini\IniFiles\Hohenschulen_Architect_200_1971.ini;DevelopmentOSR1;Option;FinalOutput; NA;NA;true;Output of final values in separate file?
Q:\OSR\INI\ModelLowN\ini\IniFiles\Hohenschulen_Architect_200_1971.ini;DevelopmentOSR1;Option;OptimizeOption; NA;NA;all;Specifies until which EC stage data and development rates are considered
